FileName,SectionAlignment,FileAlignment,SizeOfHeaders,TimeDateStamp,ImageBase,SizeOfImage,DllCharacteristics,Characteristics,HighEntropy,LowEntropy,TotalSuspiciousSections,TotalNonSuspiciousSections
zeusbin_03d82918f280ddab62a2f198aa446ddc.ex0.json,4096,512,512,0x4E45A87E [Fri Aug 12 22:26:06 2011 UTC],4194304,143360,33024,258,1,1,0,3
zeusbin_03e8f1362236cbe47722affdeb8ab0e8.ex0.json,4096,512,1024,0x4BDC490C [Sat May  1 15:30:20 2010 UTC],4194304,212992,0,271,0,0,0,3
zeusbin_03f11ced70ba53debef5de3b63ff09d2.ex0.json,4096,512,4096,0x4DD134B5 [Mon May 16 14:29:09 2011 UTC],4194304,262144,0,271,1,1,2,1
zeusbin_03f59a35410f2eea45a4ea6b4d4ee063.ex0.json,4096,512,1024,0x50F560E4 [Tue Jan 15 14:00:04 2013 UTC],4194304,372736,32768,259,1,1,6,3
zeusbin_03f89d03e4872077eba034a6a10c19b4.ex0.json,4096,512,1024,0x4E186D86 [Sat Jul  9 15:02:30 2011 UTC],4194304,192512,33024,258,0,0,1,2
zeusbin_03fb56bf933d7f0a81d37a599517602a.ex0.json,4096,512,1024,0x4FC3C6A7 [Mon May 28 18:40:39 2012 UTC],4194304,335872,0,270,0,1,2,3
zeusbin_0403608e4eb8f064bdfecf8edd71f149.ex0.json,4096,512,1024,0x47555482 [Tue Dec  4 13:22:10 2007 UTC],4194304,94208,32768,259,1,1,0,3
zeusbin_040d03fc49291d600e357aa52c0b9c1a.ex0.json,4096,512,4096,0x4D6FC718 [Thu Mar  3 16:51:36 2011 UTC],4194304,380928,0,271,1,1,2,1
zeusbin_04117645dca99c2b2bfe434e02c6ac69.ex0.json,4096,512,1024,0x4F2E581F [Sun Feb  5 10:21:19 2012 UTC],4194304,339968,0,270,1,0,2,3
zeusbin_041c17a7b97550fd69d25613d9ef8f46.ex0.json,4096,512,1024,0x4D86D449 [Mon Mar 21 04:30:01 2011 UTC],4194304,159744,33024,258,0,0,1,2
zeusbin_042271fc19604f5d861196b75c4e5b40.ex0.json,4096,512,4096,0x4319132A [Sat Sep  3 03:06:18 2005 UTC],4194304,188416,0,271,1,1,2,1
zeusbin_042287e762d4f38a499ebb0a2b8a6314.ex0.json,4096,512,1024,0x51016742 [Thu Jan 24 16:54:26 2013 UTC],4194304,182288,0,271,1,0,3,2
zeusbin_0424a127b3b1b9e7bdcc8d1434081c34.ex0.json,4096,512,4096,0x48CB48AF [Sat Sep 13 04:59:27 2008 UTC],4194304,393216,0,271,1,1,2,1
zeusbin_04338241ae2f214a95531ebba4274804.ex0.json,4096,512,1024,0x50F905BC [Fri Jan 18 08:20:12 2013 UTC],4194304,319488,32768,259,1,1,2,3
zeusbin_043f6a5e65566f1efdba44007945144e.ex0.json,4096,512,4096,0x361D6C01 [Fri Oct  9 01:50:57 1998 UTC],4194304,536576,0,33167,1,1,2,1
zeusbin_044bc764e346e9170c035ebe8c0c9566.ex0.json,4096,512,1024,0x4CD7D862 [Mon Nov  8 11:00:50 2010 UTC],4194304,126976,33024,258,0,1,1,2
zeusbin_045349eb2603ebbed1a231d8b79217a8.ex0.json,4096,512,1024,0x4F83E44D [Tue Apr 10 07:42:05 2012 UTC],4194304,311296,0,270,1,0,1,3
zeusbin_045a3864b7546708f0819650243e3b88.ex0.json,4096,512,1024,0x50FBF86E [Sun Jan 20 14:00:14 2013 UTC],4194304,327680,32768,259,1,0,0,3
zeusbin_045ab7e128ccc43e023b0352fcc8a1f9.ex0.json,4096,512,1024,0x50FDA2EE [Mon Jan 21 20:19:58 2013 UTC],4194304,311296,32768,259,1,1,1,3
